window,alpha
0,-0.02515714
0,-0.09578363
0,-0.06242177
0,-0.09784984
0,-0.01655690
0,0.04648358
0,-0.03782722
0,-0.04888845
0,-0.04217474
0,-0.06212227
0,0.00430355
0,-0.13150229
0,-0.07333426
0,-0.07072876
0,-0.02951751
0,-0.07929675
0,-0.11351073
0,-0.06930491
0,-0.02821732
0,-0.09859109
0,-0.07314972
0,0.02914584
0,-0.08044006
0,-0.10845015
0,-0.02519134
0,-0.06512576
0,0.00729166
0,-0.03059366
0,-0.02714580
0,-0.06948232
0,-0.03122445
0,0.06065445
0,-0.00651300
0,-0.05182320
0,0.11438814
0,-0.04443821
0,-0.09224378
0,-0.05097591
0,-0.01245690
0,-0.05153849
0,-0.04018475
0,-0.01372061
0,-0.03504645
0,-0.07997904
0,-0.03508945
0,0.01059725
0,0.05591206
0,0.04582967
0,-0.04336303
0,-0.01318697
0,-0.06769416
0,0.06899152
0,-0.05307081
0,-0.06251261
0,-0.01687122
0,-0.11258223
0,-0.15205918
0,-0.10034463
0,0.03806660
0,-0.05638031
0,-0.03717856
0,-0.07706576
0,-0.03062797
0,-0.05328592
0,-0.02446746
0,-0.05459279
0,-0.08183989
0,-0.07407868
0,-0.04963138
0,0.05349708
0,-0.04054261
0,-0.03400251
0,-0.06483471
0,-0.05364262
0,-0.01258431
0,-0.04162961
0,-0.02698353
0,-0.02081186
0,-0.02066743
0,-0.00395553
0,-0.02121101
0,-0.03025774
0,-0.03014852
0,-0.07074770
0,-0.04679163
0,-0.01229208
0,-0.00980168
0,-0.01939210
0,-0.03679249
0,-0.00540804
0,0.00812178
0,-0.09791916
0,0.00582897
0,-0.09227097
0,0.00662689
0,-0.05620680
0,-0.06881831
0,-0.04930719
0,-0.09926978
0,-0.03139834
0,-0.03479458
0,-0.01610413
0,-0.04029127
0,-0.07514621
0,-0.07752217
0,-0.10644650
0,-0.02427070
0,0.05854444
0,0.00806115
0,-0.13197596
0,-0.09286284
0,-0.08804610
0,-0.10005796
0,-0.08180653
0,-0.06611940
0,-0.05496000
0,0.00335146
0,0.02580786
0,-0.02451735
0,-0.03414066
0,0.00028838
0,-0.09212780
0,-0.09258411
0,0.00333276
0,0.03853655
0,-0.01695016
0,-0.04057621
0,-0.02747680
0,0.02579097
0,-0.10844496
0,-0.03217078
0,-0.04585178
0,-0.07318883
0,0.04884438
0,-0.06259798
0,-0.07996331
0,-0.02675788
0,-0.06686022
0,0.00190872
0,-0.07414753
0,-0.03029102
0,-0.01072062
0,-0.07735398
0,-0.05136664
0,-0.01517624
0,-0.04462886
0,-0.01881917
0,-0.08902845
0,-0.00731861
0,0.04984635
0,0.00984164
0,-0.01694578
0,-0.07269461
0,0.01172121
0,-0.00418246
0,-0.04213116
0,0.00363480
0,-0.06553259
0,-0.11156964
0,-0.00854559
0,-0.13382924
0,-0.07702837
0,-0.01959281
0,-0.01880195
0,-0.05746865
0,-0.01881499
0,-0.10714849
0,0.01746736
0,-0.03303007
0,0.00774730
0,-0.04889335
0,-0.00263036
0,-0.05565251
0,-0.07540852
0,-0.09727386
0,-0.09562305
0,-0.05330907
0,-0.05937051
0,-0.08044796
0,-0.03486007
0,-0.01902715
1,0.01414204
1,-0.02008712
1,0.02825591
1,0.02648775
1,0.00034786
1,0.04167552
1,-0.01644761
1,-0.05390407
1,-0.02895811
1,-0.02496284
1,0.02220744
1,0.04746955
1,0.07376714
1,-0.03580475
1,-0.00945147
1,-0.01638480
1,-0.00534542
1,0.03723708
1,-0.00148229
1,-0.02426054
1,-0.00747898
1,0.07929611
1,0.05928507
1,0.02831581
1,-0.00049239
1,0.01895299
1,0.08708134
1,0.01487268
1,-0.01385099
1,-0.00354208
1,-0.01834999
1,0.02364178
1,-0.00379316
1,0.00715058
1,-0.02349861
1,0.01654852
1,-0.00131718
1,0.00115975
1,-0.03500826
1,-0.00328582
1,0.04561776
1,0.04852899
1,0.01085065
1,-0.02470333
1,0.04057975
1,0.02183384
1,0.02205402
1,-0.00873521
1,0.02663574
1,0.00985707
1,0.01172773
1,-0.00044610
1,-0.00679116
1,-0.00989631
1,-0.02994327
1,-0.00584666
1,-0.01519607
1,-0.04285288
1,-0.03377860
1,0.01255175
1,0.03180603
