month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore,cbop,dy
2013-07,-1.72244,0.68777,1.29799,1.04266,1.42856,-0.32843,-0.96348,-0.80108,-1.41752,-1.41076,-0.35961,-0.79571,-1.13954,-0.41484,-0.13277,1.65431,1.74761,0.03188,1.37882
2013-08,-1.69828,0.51528,1.23190,0.31313,1.26665,-0.66655,-1.08904,-1.00520,-1.27384,-1.19394,-0.36599,-0.66655,-1.03775,-0.48713,0.20463,1.45806,1.58467,-1.11973,0.92978
2013-09,-1.66334,0.87995,1.49334,0.70118,1.23034,-0.74663,-1.13051,-0.90193,-1.33931,-1.41883,-0.40437,-0.78674,-1.10565,-0.54543,0.09825,1.51975,1.67708,-1.09367,0.82788
2013-10,-1.64469,0.90352,1.29494,0.25787,1.17138,-0.70510,-1.22876,-0.97403,-1.21926,-1.35314,-0.31458,-0.85078,-0.94974,-0.37851,0.13126,1.45322,1.62438,-1.14078,0.73162
2013-11,-1.71647,0.29692,1.29005,0.20602,1.24847,-0.67680,-1.10300,-1.05778,-1.22339,-1.18042,-0.36215,-0.78936,-1.01604,-0.51566,0.12180,1.39892,1.59090,-1.09973,0.73105
2013-12,-1.71745,0.46743,1.48435,0.25938,1.12347,-0.68870,-1.12680,-0.94698,-1.29143,-1.29873,-0.29931,-0.67497,-0.91285,-0.48921,0.03618,1.40156,1.61500,-1.06582,0.67986
2014-01,-1.44891,0.79207,1.54582,0.52106,1.03104,-0.87408,-1.35959,-1.25047,-1.44318,-1.20694,-0.16526,-0.86564,-1.13179,-0.56404,0.16815,1.62164,1.73437,-1.20913,0.48846
2014-02,-1.48687,0.68894,1.66102,0.52895,1.08230,-0.82111,-1.34748,-1.04863,-1.31869,-1.29373,-0.17191,-0.90120,-0.99741,-0.44734,0.19282,1.66811,1.77983,-1.21122,0.51995
2014-03,-1.62255,0.66829,1.74191,0.74511,1.24041,-0.82276,-1.36500,-1.08994,-1.36051,-1.32858,-0.22442,-0.85837,-1.08261,-0.55447,0.23120,1.65181,1.76454,-1.24701,0.58517
2014-04,-1.51609,-0.59340,1.46221,0.72197,1.16096,-0.72874,-1.25273,-1.09199,-1.40997,-1.28005,-0.13266,-0.83917,-0.95497,-0.49913,0.14390,1.46929,1.56128,-1.23390,0.54538
2014-05,-1.61650,0.72467,1.77682,0.79154,1.13801,-0.85682,-1.51796,-1.23209,-1.49140,-1.23899,-0.16433,-0.91864,-1.10126,-0.60809,0.14438,1.62433,1.73549,-1.32962,0.61669
2014-06,-1.51749,0.10850,1.82841,0.81380,1.26253,-0.84467,-1.69284,-1.20077,-1.42918,-1.06075,-0.10200,-0.97781,-1.04824,-0.63825,0.29946,1.65229,1.69330,-1.41100,0.58524
2014-07,0.51345,-0.28317,-0.33534,-0.22264,-0.78454,-0.67876,-0.38907,-0.64235,-0.59099,0.15169,-0.07086,-0.71441,-0.79263,-0.26976,-0.29758,0.21772,0.15577,0.00409,-1.01209
